name,location,description,rating,url,wikiUrl,
Toledo Amman Hotel,"Amman
","With an international eco-label, Toledo Hotel offers rooms overlooking blue-domed King Abdullah Mosque. It features an indoor pool, spa and a modern gym, a 20 minute walk from downtown Amman.",8.2,https://www.booking.com/hotel/jo/toledo-amman.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=32&hpos=32&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Jabal Amman Hotel (Heritage House),"Amman
","Just a 20-minute walk from the Roman Amphitheater and Amman Citadel, this 4-star hotel is located on Rainbow Street in Amman’s center. It offers apartments and studios with panoramic city views.",7.8,https://www.booking.com/hotel/jo/heritage-residence.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=33&hpos=33&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Rafi Hotel,"Amman
","Featuring a restaurant, Rafi Hotel offers accommodations in Amman. Guests can enjoy free WiFi throughout the property. Rooms come with a flat-screen TV with satellite channels.",8.1,https://www.booking.com/hotel/jo/rafi.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=34&hpos=34&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Lancaster Hotel Apartments-Gardens,"Amman
","Featuring free WiFi, Lancaster Hotel Apartments-gardens offers fully furnished accommodations in Gardens Street. Amman Downtown is 20 minutes away by car.",7.9,https://www.booking.com/hotel/jo/altayeb-hotel-apt.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=35&hpos=35&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Naylover Hotel Suites,"Amman
","Located within 2.6 miles of US Embassy and 2.9 miles of Zahran Palace, Naylover Hotel Suites in Amman has a terrace and rooms with free WiFi.",9.2,https://www.booking.com/hotel/jo/naylover-suites.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=36&hpos=36&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Jordan Tower Hotel,"Amman
","In Central Downtown Amman, 100 ft from the Roman Theatre and a short walk to the Citadel. Car rental can be arranged by the 24-hour front desk. Hotel Jordan Tower has simply furnished rooms.",7.7,https://www.booking.com/hotel/jo/jordan-tower.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=37&hpos=37&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
7Boys Hotel,"Amman
","Located in Al Abdali, 7Boys Hotel is a 2-star hotel located within 328 feet from JETT Bus Abdali Station, 0.9 mi from Zahran Palace and cross the street from The Islamic Hospital.",8.5,https://www.booking.com/hotel/jo/7boys.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=38&hpos=38&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Nishan Hotel,"Amman
","Featuring free WiFi throughout the property, Nishan Hotel is set in Amman, 2.2 mi from Al Hussein National Park. Guests can enjoy the on-site restaurant. Free valet parking is available on site.",8.3,https://www.booking.com/hotel/jo/nishan.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=39&hpos=39&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Le Royal Amman,"Amman
","Towering over Amman, Le Royal is home to a luxurious 3-floor shopping mall. Panoramic fitness rooms, a mudroom and a hairdresser are available at the spa.",7.7,https://www.booking.com/hotel/jo/le-royal-amman.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=40&hpos=40&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Cliff Hotel,"Amman
","Just 550 yards from the Roman Theatre, Cliff Hotel offers private and shared accommodations in central Amman.  A tour desk, free Wi-Fi access and a 24-hour front desk are available.",8.2,https://www.booking.com/hotel/jo/cliff.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=41&hpos=41&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Beirut Hotel,"Amman
","Beirut Hotel has rooms with free WiFi in Amman, ideally located a 5-minute walk from Al Hussainy Mosque.",8.2,https://www.booking.com/hotel/jo/uuo-u-o-uo-uoa.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=42&hpos=42&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,
Mansour Hotel,"Amman
","Located in central Amman, Mansour Hotel offers simply furnished rooms and free Wi-Fi public areas. The historical Amman Citadel and Roman Theater are a 5-minute drive away.",6.9,https://www.booking.com/hotel/jo/mansour.html?label=gen173nr-1DCAQoggJCDGNpdHlfLTk3MDM2MkgzWARougGIAQGYAQG4AQfIAQ3YAQPoAQH4AQOIAgGoAgO4AuignuUFwAIB&sid=fb268b91a89f82527742935dbdc39ce7&dest_id=-970362&dest_type=city&hapos=43&hpos=43&sr_order=popularity&srepoch=1556914474&srpvid=8fa58e54eff00143&ucfs=1&from=searchresults,highlight_room=#hotelTmpl,http://www.wikidata.org/entity/Q6751843
